subject,object,original_label
Radiofrequency integrated circuits,RF integrated circuits,same-as
CAMAC,Computer Automated Measurement and Control,same-as
Thermal resistance,Heat resistance,same-as
Transmission line matrix methods,TLM Techniques,same-as
Videophone systems,Video calling systems,same-as
Online banking,Internet banking,same-as
Set theory,Theory of sets,same-as
Induction motors,Asynchronous motors,same-as
Distributed power generation,Distributed generation,same-as
Postal services,Mail services,same-as
Self-organizing feature maps,SOM,same-as
MISO communication,Multiple Input Single Output Communication,same-as
5G mobile communication,5th generation mobile systems,same-as
Fluid dynamics,Fluid flow dynamics,same-as
Microwave circuits,Microwave electronic circuits,same-as
Integrated memory circuits,Memory integrated circuits,same-as
Moisture control,Humidity management,same-as
Iterative methods,Iterative algorithms,same-as
Aluminum,Aluminio,same-as
Submillimeter wave communication,Terahertz Wave Communication,same-as
Turing machines,Turing devices,same-as
Semiconductor device breakdown,Semiconductor failure,same-as
Analog circuits,Analog electronic circuits,same-as
Phase shifters,Phase shift devices,same-as
HEMTs,High-electron-mobility transistors,same-as
Quantum communication,Quantum information transfer,same-as
Spectroscopy,Spectral analysis,same-as
Pareto optimization,Pareto optimisation,same-as
Ultra wideband technology,Ultra wideband,same-as
Quaternions,Hypercomplex numbers,same-as
Rail to rail operation,Full swing operation,same-as
Circuit synthesis,Electronic circuit formulation,same-as
Coordinate measuring machines,CMM devices,same-as
Wavelet coefficients,Wavelet Transform Coefficients,same-as
Sensorless control,Non-sensor Control,same-as
Centralized control,Centralized management,same-as
Solvents,Dissolving agents,same-as
Light emitting diodes,LED,same-as
Business process re-engineering,Business process redesign,same-as
Autonomous aerial vehicles,Unpiloted air vehicles,same-as
Pulse circuits,Pulse Signal Circuits,same-as
Three-dimensional displays,3D display systems,same-as
Wind energy,Wind power,same-as
Analog-digital conversion,Analog-to-digital transformation,same-as
Methanol,Wood alcohol,same-as
Circuit faults,Circuit malfunctions,same-as
Power integrated circuits,Energy Integrated Circuits,same-as
Predator prey systems,Predator-prey dynamics,same-as
Risk management,Risk mitigation,same-as
Size measurement,Dimension Assessment,same-as
Laser materials processing,Laser fabrication techniques,same-as
Spark Plasma sintering,Field Assisted Sintering Technique (FAST),same-as
Debugging,Fault Finding,same-as
Pancreas,Pancreatic gland,same-as
Semiconductor device measurement,Semiconductor device testing,same-as
Isotopes,Atomic variations,same-as
PD control,Proportional-derivative control,same-as
Metropolitan area networks,Urban area networks,same-as
License plate recognition,Automatic-number plate recognition,same-as
CNTFETs,Carbon-nanotube FETs,same-as
Wideband,Broadband,same-as
Turnkey project,Turnkey solution,same-as
Cross layer design,Layer Interaction Design,same-as
Cyberbullying,Online bullying,same-as
Resins,Synthetic polymers,same-as
Formal concept analysis,Concept Lattice Analysis,same-as
Bio-inspired computing,Biologically inspired computing,same-as
Continuous wavelet transforms,Continuous Wavelet Analysis,same-as
Thyristor circuits,SCR Circuits,same-as
Underwater cables,Sub-sea cables,same-as
Frequency-domain analysis,Spectral analysis,same-as
Computer crime,Cyber-crime,same-as
Electro-optic modulators,Electrooptic modulators,same-as
Charge carrier processes,Carrier processes,same-as
Regional area networks,Regional networks,same-as
Global Positioning System,GPS,same-as
Linear matrix inequalities,LMI,same-as
Dysprosium,Dysprosium Element,same-as
Shingled magnetic recording,Overlapped magnetic recording,same-as
Personal communication networks,Individual communication networks,same-as
Maximum a posteriori estimation,Maximum a-posteriori,same-as
Pulse width modulation converters,PWM converters,same-as
Radiation protection,Radiation safety,same-as
Light emitting diodes,LEDs,same-as
PI control,Proportional-Integral control,same-as
Data breach,Data Leak,same-as
Measurement techniques,Measuring Methods,same-as
Nonlinear control systems,Nonlinear dynamic systems,same-as
Spaceborne radar,Satellite born radar,same-as
Image capture,Image acquisition,same-as
Multiprocessing systems,Parallel processing systems,same-as
Integrated circuits,Microchips,same-as
Analog-digital integrated circuits,Analogue digital integrated circuits,same-as
Three-dimensional displays,3D displays,same-as
Cramer-Rao bounds,Cramer Rao bounds,same-as
Aspherical optics,Aspheric optics,same-as
Autonomous automobiles,Self-driving automobiles,same-as
Missile control,Missile guidance,same-as
Photoreceptors,Light-sensitive cells,same-as
Noise reduction,De-noising,same-as
Agricultural robots,Farming automation systems,same-as
Chemical elements,Elemental substances,same-as
Finite difference methods,Finite-difference methods,same-as
Motion compensation,Motion correction,same-as
Euclidean distance,Euclidean metric,same-as
Chebyshev approximation,Chebyshev polynomial approximation,same-as
Programmable logic devices,Programmable Logic Chips,same-as
Size measurement,Measurement of Size,same-as
Machine assisted indexing,Machine aided indexing,same-as
Algebra,Mathematical algebra,same-as
Ultra wideband technology,UWB technology,same-as
Finite element analysis,Finite element method,same-as
Prosthetics,Artificial limbs,same-as
Electronic learning,E-learning,same-as
5G mobile communication,5th generation wireless systems,same-as
Coplanar transmission lines,Coplanar waveguides,same-as
Communication system software,Telecom System Software,same-as
Newton method,Newton-Raphson method,same-as
Digital recording,Digital taping,same-as
Terahertz materials,THz Materials,same-as
Videotex,Interactive Video Services,same-as
Sequential circuits,State-driven circuits,same-as
Ultra wideband technology,Ultra-wide-band,same-as
Indoor communication,In-building communication,same-as
Lattices,Grid structures,same-as
Maximum a posteriori estimation,Maximum a posteriori method,same-as
Mechanical variables measurement,Mechanical parameter measurement,same-as
HEMTs,High-electron mobility transistors,same-as
Aerospace electronics,Avionics,same-as
Micrometers,Micrometer Calipers,same-as
Nonlinear equations,Nonlinear mathematical relationships,same-as
Radium,Radium Element,same-as
Circuits,Electronic circuits,same-as
Pulse width modulation converters,Pulsewidth modulation convertors,same-as
Magnetic communication,Magnetic signaling,same-as
FET integrated circuits,FET ICs,same-as
Self-organizing feature maps,Self organizing feature maps,same-as
Finite difference methods,Finite difference approximations,same-as
MIMO communication,Multiple Input Multiple Output Communication,same-as
Biomedical communication,Medical Communication,same-as
Trigger circuits,Firing circuits,same-as
Brain-computer interfaces,Brain-computer-interfaces,same-as
Transfer molding,Transfer moulding,same-as
Electrochromic devices,Electrochromic systems,same-as
Digital printing,Electronic Printing,same-as
Extrasolar planets,Exoplanets,same-as
Fuel processing industries,Fuel refining sectors,same-as
CNTFETs,Carbon nanotube field- effect transistors,same-as
Radon,Radon Gas,same-as
Autonomous automobiles,Driverless automobiles,same-as
Computed tomography,Computerized tomography,same-as
Extrasolar planets,Exo-planets,same-as
Photonic crystal fibers,Photonic-crystal fibres,same-as
Diffusion bonding,Solid-state diffusion bonding,same-as
Quality of experience,User Experience Quality,same-as
Germanium alloys,Germanium-based alloys,same-as
Photonic crystal fibers,Photonic-crystal fibers,same-as
ARPANET,Advanced Research Projects Agency Network,same-as
Impersonation attacks,Identity spoofing,same-as
Broadcast technology,Broadcasting technology,same-as
Optimal control,Optimal regulation,same-as
Neurology,Nervous System Medicine,same-as
Information age,Age of information,same-as
Conformal mapping,Angle-preserving mapping,same-as
Wireless mesh networks,Mesh wireless networking,same-as
Carotid arteries,Common carotid arteries,same-as
Underwater technology,Subaqueous technology,same-as
Rectifiers,AC/DC converters,same-as
Thyristors,Silicon controlled rectifiers,same-as
Hardware design languages,Hardware description languages,same-as
Commonsense reasoning,common-sense reasoning,same-as
Communication system software,Communication System Applications,same-as
MERIS,MEdium Resolution Imaging Spectrometer,same-as
Telephony,Telephone Services,same-as
Organic inorganic hybrid materials,Composite organic-inorganic materials,same-as
Hard disks,Hard discs,same-as
SIMO communication,Single Input Multiple Output Communication,same-as
Cyclones,Tropical Storms,same-as
Radar interferometry,Interferometric radar,same-as
3G mobile communication,3G,same-as
HDTV,High-definition TV,same-as
Distortion measurement,Distortion analysis,same-as
Method of moments,Moment Method,same-as
Ant colony optimization,ACO Algorithm,same-as
Pulse width modulation converters,Pulse width modulation convertors,same-as
UHF circuits,Ultra High Frequency Circuits,same-as
Self-organizing feature maps,Kohonen maps,same-as
SCADA systems,Industrial Control Systems,same-as
Monolithic integrated circuits,Single-chip integrated circuits,same-as
Pressure vessels,Pressure containers,same-as
PD control,Proportional-Derivative Control,same-as
Power integrated circuits,Power ICs,same-as
Taylor series,Taylor expansion,same-as
Crystalline materials,Crystalline substances,same-as
Set theory,Mathematical set theory,same-as
Organic inorganic hybrid materials,Inorganic organic hybrid materials,same-as
VHDL,VHSIC Hardware Description Language,same-as
Quantum communication,Quantum signaling,same-as
Soil measurements,Soil monitoring,same-as
Terahertz radiation,T-rays,same-as
Equivalent circuits,Circuit Equivalents,same-as
Information-centric networking,Information centric networks,same-as
Extrasolar planets,Extra solar planets,same-as
Switching circuits,Switching systems,same-as
Auxetic materials,Negative Poisson's ratio materials,same-as
Radiation effects,Radioactive Impact,same-as
Fluid flow measurement,Fluid dynamics monitoring,same-as
D-HEMTs,Depletion mode HEMTs,same-as
Biological weapons,Bioweapons,same-as
Extrasolar planets,Exo planets,same-as
Alcoholic beverages,Liquor,same-as
Pulse width modulation converters,Pulse width modulated power converters,same-as
UHF integrated circuits,Ultra High Frequency ICs,same-as
Satellite ground stations,Satellite earth stations,same-as
Telephony,Voice Communication,same-as
Newton method,Newtons method,same-as
Noise,Sound Interference,same-as
Electronic learning,E learning,same-as
Linear circuits,Linear electronic circuits,same-as
Tracking loops,Loop trackers,same-as
Pressure control,Pressure regulation,same-as
Millimeter wave circuits,MMW circuits,same-as
Decentralized control,Distributed control,same-as
Biomedical materials,Biomedical substances,same-as
Crystals,Solid Formations,same-as
Error correction,Error rectification,same-as
Radio communication,Radiofrequency transmission,same-as
Nuclear measurements,Nuclear measurement techniques,same-as
Earth,World,same-as
Quantum networks,Quantum communication networks,same-as
Thermal lensing,Thermal Lens Effect,same-as
Direction-of-arrival estimation,Estimation of the direction of arrival,same-as
Millimeter wave devices,Millimeter wave components,same-as
Analog-digital conversion,Analog-to-digital conversion,same-as
Comets,Cosmic snowballs,same-as
Microwave sensors,Microwave detection devices,same-as
Bromine compounds,Bromine-based chemicals,same-as
Spaceborne radar,Satellite borne radar,same-as
SISO communication,SISO Signal Transmission,same-as
MIMO communication,Multiple-input multiple- output,same-as
Estimation,Approximation,same-as
Electro-optic modulators,Electro-optical modulators,same-as
Computer networks,Network Computing Systems,same-as
Very large scale integration,Ultra-large scale integration,same-as
Submillimeter wave circuits,Terahertz circuits,same-as
Quantum circuit,Quantum logic circuit,same-as
Multicore processing,Multi-core processing,same-as
Military computing,Defense computing,same-as
Online banking,E-banking,same-as
Reflectometry,Optical Reflectometry,same-as
3G mobile communication,Third generation mobile communication,same-as
Proportional control,Proportional regulation,same-as
Time measurement,Chronometry,same-as
Electronic circuits,Electrical circuitry,same-as
Phonocardiography,Heart sound recording,same-as
UHDTV,Ultra-high definition television,same-as
Transmission line measurements,Line transmission testing,same-as
Paper mills,Paper factories,same-as
Microprocessors,CPU Chips,same-as
Remotely guided vehicles,Remotely controlled vehicles,same-as
Calorimetry,Heat Measurement,same-as
Linear systems,Linear models,same-as
Wire,Cable,same-as
Bio-inspired materials,Biomimetic materials,same-as
Chemical reaction network theory,Reaction network theory,same-as
Local area networks,LANs,same-as
Permanent magnets,Persistent magnets,same-as
Software algorithms,Computer algorithms,same-as
Bromine,Bromine element,same-as
Root mean square,RMS value,same-as
Interferometry,Optical metrology,same-as
Nonlinear equations,Nonlinear systems of equations,same-as
Routing,Pathfinding,same-as
Neon,Neon gas,same-as
Mobile communication,Cellular communication,same-as
3G mobile communication,3rd generation mobile communication,same-as
Piecewise linear techniques,Linear spline methodology,same-as
High-temperature superconductors,High Tc superconductors,same-as
Optical fiber communication,Fiber optic communication,same-as
Sequential circuits,Clock-driven circuits,same-as
Research and development management,R&D Management,same-as
Direction-of-arrival estimation,Direction of arrival estimation,same-as
Electromechanical devices,Electromechanical systems,same-as
Acoustic reflection,Sound Reflection,same-as
Machine assisted indexing,Machine-assisted indexing,same-as
Client-server systems,Client server systems,same-as
Surface tension,Interfacial tension,same-as
Magnetic tunneling,Spin-polarized tunneling,same-as
Closed loop systems,Feedback control systems,same-as
Open loop systems,Uncontrolled systems,same-as
Hypertension,High blood pressure,same-as
Photonic crystal fibers,Photon crystal fibres,same-as
Risk analysis,Risk assessment,same-as
HDTV,High definition television,same-as
Quantum circuit,Quantum computational circuit,same-as
Terahertz communications,THz communications,same-as
CNTFETs,Carbon-nanotube field effect transistors,same-as
Bone diseases,Skeletal Disorders,same-as
Satellite communication,Space communication,same-as
Methanol,Methyl alcohol,same-as
License plate recognition,Vehicle license plate recognition,same-as
Gas chromatography,Vapor-phase chromatography,same-as
Conducting materials,Conductive substances,same-as
Phase change materials,Thermal storage materials,same-as
Communication system security,Communications Security,same-as
Videophone systems,Video communication devices,same-as
5G mobile communication,5th generation systems,same-as
Neurostimulation,Neural stimulation,same-as
5G mobile communication,5G,same-as
Optical fiber communication,Optical fiber networking,same-as
Electronic packaging thermal management,Thermal management in electronics packaging,same-as
Modulation,Signal Modulation,same-as
Nonlinear circuits,Nonlinear electronic circuits,same-as
Bio-inspired computing,Biocomputing,same-as
Microwave circuits,Microwave circuitry,same-as
Maximum a posteriori estimation,Maximum aposteriori,same-as
Cinematography,Film Production,same-as
Switched circuits,Switched networks,same-as
Systems engineering education,Systems Engineering Training,same-as
Unsolicited e-mail,Unsolicited electronic e- mail,same-as
Wireless sensor networks,Sensor networks,same-as
Ozonation,Ozone treatment,same-as
Computer aided instruction,Computer aided learning,same-as
Radar detection,Radar signal detection,same-as
Electric potential,Voltage,same-as
Autonomous automobiles,Self-driving car,same-as
Pressure sensors,Pressure transducers,same-as
Microcomputers,Micro-computers,same-as
Microcomputers,Micro computers,same-as
Millennials,Generation Y,same-as
CNTFETs,Carbon-nanotube field- effect transistors,same-as
Magnetic communication,Magnetic data transmission,same-as
Bayes methods,Bayesian methods,same-as
Token networks,Token-based networks,same-as
Waste reduction,Waste minimization,same-as
Token networks,Digital token networks,same-as
Quality management,Quality Assurance,same-as
Mathematical models,Quantitative models,same-as
Remotely guided vehicles,Remotely operated vehicles,same-as
Nonhomogeneous media,Inhomogeneous media,same-as
Organic inorganic hybrid materials,Inorganic-organic hybrid materials,same-as
Osmium,Osmium metal,same-as
Web pages,Internet pages,same-as
Fluid flow measurement,Flow rate measurement,same-as
RLC circuits,RLC Filter Networks,same-as
Scanning probe data storage,Scanning Probe Memory,same-as
Programmable logic arrays,Programmable Logic Devices,same-as
Digital-analog conversion,Digital to analog conversion,same-as
Dynamical systems,Dynamic models,same-as
Optical materials,Photonic materials,same-as
Bulk acoustic wave devices,BAW Devices,same-as
Mode matching methods,Mode matching techniques,same-as
Information geometry,Differential Information Theory,same-as
Cepstral analysis,Cepstrum technique,same-as
Surfactants,Surface-active agents,same-as
Kirchhoff's Law,Kirchhoff law,same-as
Linearization techniques,Linear transformation techniques,same-as
Electronic voting systems,Digital voting platforms,same-as
License plate recognition,Automatic number plate recognition,same-as
Climate change,Climatic change,same-as
Weibull distribution,Weibull probability distribution,same-as
Mathematics,Mathematical Sciences,same-as
Petrochemicals,Petroleum-derived chemicals,same-as
Electronic publishing,E-publishing,same-as
Fast Fourier transforms,FFT,same-as
Inductance measurement,Inductance gauging,same-as
UHDTV,Ultra HD,same-as
Unsolicited e-mail,Unsolicited electronic email,same-as
License plate recognition,Car plate recognition,same-as
Measurement errors,Measurement inaccuracies,same-as
Scandium,Scandium element,same-as
MOSFET circuits,Metal-Oxide-Semiconductor Field-Effect Transistor circuitry,same-as
Computed tomography,CT scan,same-as
Real-time systems,Real time systems,same-as
UHF communication,UHF band communication,same-as
Electroencephalography,EEG,same-as
EPROM,Erasable programmable read only memory,same-as
Cyclic redundancy check,CRC check,same-as
Logic circuits,Digital logic systems,same-as
Lumen,Light Unit,same-as
Regional area networks,Local area networks,same-as
Vehicular ad hoc networks,VANET,same-as
Light fields,Lightfield imaging,same-as
Distributed ledger,Shared ledger,same-as
Inorganic materials,Inorganic substances,same-as
Whole body imaging,Full body scanning,same-as
Radioactive materials,Radioactive substances,same-as
Selenium,Selenium Element,same-as
Self-organizing feature maps,Self organising feature maps,same-as
Frequency shift keying,FSK Modulation,same-as
Pulse width modulation converters,Pulsewidth modulation converters,same-as
Spaceborne radar,Spaceborn radar,same-as
Discharge lamps,Gas-discharge lamps,same-as
Bidirectional control,Two-way control,same-as
Frequency measurement,Frequency determination,same-as
Measurement by laser beam,Laser-based Measurement,same-as
Low-carbon economy,Green economy,same-as
Thermal management,Heat Control,same-as
Underwater communication,Subaqueous communication,same-as
Photoconducting materials,Photoconductive substances,same-as
Biological weapons,Bio-weapons,same-as
Photonic crystal fibers,Photon crystal fibers,same-as
High-temperature superconductors,HTS,same-as
Computer aided instruction,Computer-aided instruction,same-as
Method of moments,Moment Techniques,same-as
Electronic learning,Elearning,same-as
Programmable logic arrays,PLA Devices,same-as
Biopsy,Tissue sampling,same-as
Moisture measurement,Humidity assessment,same-as
Metallic materials,Metal-based materials,same-as
CNTFETs,Carbon nanotube FETs,same-as
Organizational aspects,Organisational aspects,same-as
Labor resources,Labour resources,same-as
Bipolar transistor circuits,Bipolar junction transistor circuits,same-as
Electro-absorption modulators,Electroabsorption modulators,same-as
pH measurement,pH testing,same-as
Human computer interaction,Human-computer interaction,same-as
Test equipment,Testing instruments,same-as
HEMTs,High electron mobility transistors,same-as
Fault tolerant control,Resilient control systems,same-as
Digital communication,Electronic communication,same-as
Bathymetry,Seafloor topography,same-as
Vivaldi antennas,Tapered slot antennas,same-as
Interferometry,Interference measurement technology,same-as
Histopathology,Histological pathology,same-as
Predator prey systems,Predator-prey interactions,same-as
Cramer-Rao bounds,Cramer Rao bound,same-as
MIMO communication,Multiple input multiple output,same-as
Multiplying circuits,Product circuits,same-as
Deuterium,Heavy hydrogen,same-as
UHDTV,Ultra-high definition TV,same-as
Analog-digital conversion,A/D conversion,same-as
Thermoplastic polyethylene,Thermoplastic PE,same-as
Neuromorphic engineering,Neuromorphic computing,same-as
Ultra wideband technology,Ultra wide-band,same-as
Logic arrays,Logic gate arrays,same-as
Optical refraction,Light bending,same-as
Risk management,Risk handling,same-as
Ultra large scale integration,ULSI,same-as
Hydraulic systems,Fluid power systems,same-as
Scintillation counters,Scintillators,same-as
Materials,Substances,same-as
Prosthetic limbs,Artificial limbs,same-as
License plate recognition,License plate detection,same-as
Renewable energy sources,Sustainable energy resources,same-as
Thermal variables control,Temperature regulation management,same-as
Sulfur,Sulfur Element,same-as
Distributed parameter circuits,Spatially distributed circuits,same-as
Satellite ground stations,Space communication ground facilities,same-as
Magnetic materials,Ferromagnetic materials,same-as
Landslides,Landslide events,same-as
Brain-computer interfaces,Brain computer interfaces,same-as
Computer mediated communication,Digital Communication,same-as
Magnetic resonance imaging,NMR imaging,same-as
HEMTs,High electron-mobility transistors,same-as
Spinal cord injury,Spinal injury,same-as
Rail to rail operation,Complete swing operation,same-as
Arsenic,Arsenicum,same-as
UHF measurements,Ultra High Frequency measurements,same-as
Linearization techniques,Linear approximation methods,same-as
Esophagus,Gullet,same-as
Error correction codes,Error-correction codes,same-as
Wireless sensor networks,Wireless sensing networks,same-as
Thorium,Thorium Element,same-as
Peer-to-peer computing,Peer to peer computing,same-as
Newton method,Newton's method,same-as
Microwave communication,Microwave telecommunications,same-as
Wavelength measurement,Wavelength gauging,same-as
Vanadium,Vanadium element,same-as
Computer aided instruction,Computer-aided learning,same-as
Paramagnetic resonance,Electron Paramagnetic Resonance (EPR),same-as
Outsourcing,Contracting Out,same-as
Autonomous automobiles,Driver-free car,same-as
Power steering,Power-assisted steering,same-as
UHF measurements,UHF signal measurements,same-as
Charge pumps,Charge boosters,same-as
Hard disks,Hard-disc drives,same-as
Conformal mapping,Conformal transformation,same-as
Information-centric networking,Information centric networking,same-as
Light emitting diodes,Light-emitting diodes,same-as
Switching systems,Exchange networks,same-as
Switched capacitor circuits,Capacitive Switch Circuits,same-as
Inverse problems,Inverse problem,same-as
Three-dimensional displays,3-D displays,same-as
Extrasolar planets,Extra-solar planets,same-as
Statistics,Statistical Analysis,same-as
Bipolar transistor circuits,BJT circuits,same-as
PI control,Proportional-integral controller,same-as
Erbium-doped fiber lasers,Erbium-doped fiber amplifiers (EDFA),same-as
Man-machine systems,Human-machine systems,same-as
Cyberbullying,Internet bullying,same-as
Mechanical variables control,Control of Mechanical Parameters,same-as
Circuits,Electrical circuits,same-as
Share prices,Stock prices,same-as
Fluids,Liquids,same-as
Plasma measurements,Plasma Diagnostics,same-as
Optical sensors,Photoelectric sensors,same-as
Nanostructured materials,Nanoscale materials,same-as
Laminates,Layered materials,same-as
PI control,Proportional-integral control,same-as
Communication system signaling,Telecom signaling,same-as
Ultra wideband technology,Ultrawideband,same-as
Teleprinting,Teleprinter communication,same-as
Ultra wideband technology,Ultrawideband technology,same-as
Reverberation chambers,Echo chambers,same-as
UHF propagation,Ultra High Frequency Signal Propagation,same-as
Low-carbon economy,Low fossile fuel economy,same-as
Decentralized control,Decentralised control,same-as
License plate recognition,Number plate recognition,same-as
Frequency measurement,Frequency analysis,same-as
Digital-analog conversion,Digital-analogue conversion,same-as
Small business technology transfer,Small business tech transfer,same-as
Three-dimensional displays,Three dimensional displays,same-as
Spectral analysis,Spectrum analysis,same-as
Food industry,Food production sector,same-as
Space radiation,Cosmic radiation,same-as
Switching loss,Switching energy loss,same-as
Military communication,Armed Forces Communication,same-as
Visual communication,Graphic communication,same-as
Thermal variables measurement,Thermal parameter measurement,same-as
Frequency locked loops,Frequency Lock Loops,same-as
Unsolicited e-mail,Junk email,same-as
Autonomous automobiles,Driverless cars,same-as
Multiaccess communication,Multiple access communication,same-as
Cyberbullying,Cyber bullying,same-as
Particle beam measurements,Particle beam analysis,same-as
Spectroradiometers,Spectral radiometers,same-as
Wireless personal area networks,WPANs,same-as
Digital signal processors,DSP Microprocessors,same-as
